index,date,return
매운맛,2017-01-02,0
매운맛,2017-01-03,0
매운맛,2017-01-04,0.2076
매운맛,2017-01-05,1.1165
매운맛,2017-01-06,1.1511
매운맛,2017-01-09,1.1418
매운맛,2017-01-10,1.6271
매운맛,2017-01-11,1.0269
매운맛,2017-01-12,1.1104
매운맛,2017-01-13,0.8098
매운맛,2017-01-16,1.0207
매운맛,2017-01-17,0.8413
매운맛,2017-01-18,0.3812
매운맛,2017-01-19,0.528
매운맛,2017-01-20,0.7985
매운맛,2017-01-23,0.7546
매운맛,2017-01-24,0.4514
매운맛,2017-01-25,0.4759
매운맛,2017-01-26,1.0245
매운맛,2017-01-31,1.898
매운맛,2017-02-01,0.8383
매운맛,2017-02-02,1.0846
매운맛,2017-02-03,1.0972
매운맛,2017-02-06,1.301
매운맛,2017-02-07,1.4109
매운맛,2017-02-08,1.3994
매운맛,2017-02-09,1.4195
매운맛,2017-02-10,1.4451
매운맛,2017-02-13,1.7527
매운맛,2017-02-14,2.0926
매운맛,2017-02-15,2.0127
매운맛,2017-02-16,2.4268
매운맛,2017-02-17,2.4646
매운맛,2017-02-20,2.3772
매운맛,2017-02-21,2.4971
매운맛,2017-02-22,2.7607
매운맛,2017-02-23,3.1899
매운맛,2017-02-24,3.2383
매운맛,2017-02-27,3.0379
매운맛,2017-02-28,2.9386
매운맛,2017-03-02,2.9562
매운맛,2017-03-03,3.6379
매운맛,2017-03-06,3.1356
매운맛,2017-03-07,3.2142
매운맛,2017-03-08,3.2064
매운맛,2017-03-09,3.0912
매운맛,2017-03-10,2.8858
매운맛,2017-03-13,2.8517
매운맛,2017-03-14,3.3435
매운맛,2017-03-15,3.6278
매운맛,2017-03-16,3.4064
매운맛,2017-03-17,4.0445
매운맛,2017-03-20,4.4718
매운맛,2017-03-21,4.1643
매운맛,2017-03-22,4.6126
매운맛,2017-03-23,3.9415
매운맛,2017-03-24,3.9408
매운맛,2017-03-27,3.8644
매운맛,2017-03-28,3.9015
매운맛,2017-03-29,3.8865
매운맛,2017-03-30,4.1313
매운맛,2017-03-31,4.2875
매운맛,2017-04-03,4.3612
매운맛,2017-04-04,4.2217
매운맛,2017-04-05,4.1505
매운맛,2017-04-06,3.9731
매운맛,2017-04-07,3.6905
매운맛,2017-04-10,3.7375
매운맛,2017-04-11,3.4814
매운맛,2017-04-12,3.3093
매운맛,2017-04-13,3.3614
매운맛,2017-04-14,3.3207
매운맛,2017-04-17,2.8051
매운맛,2017-04-18,2.9207
매운맛,2017-04-19,3.3316
매운맛,2017-04-20,3.0652
매운맛,2017-04-21,3.1845
매운맛,2017-04-24,3.9812
매운맛,2017-04-25,4.5362
매운맛,2017-04-26,5.5016
매운맛,2017-04-27,6.1716
매운맛,2017-04-28,6.2018
매운맛,2017-05-02,6.1159
매운맛,2017-05-04,6.5781
매운맛,2017-05-08,6.8464
매운맛,2017-05-10,7.8498
매운맛,2017-05-11,7.5451
매운맛,2017-05-12,7.941
매운맛,2017-05-15,7.7434
매운맛,2017-05-16,7.789
매운맛,2017-05-17,8.0327
매운맛,2017-05-18,8.0029
매운맛,2017-05-19,7.3597
매운맛,2017-05-22,7.1636
매운맛,2017-05-23,7.7316
매운맛,2017-05-24,8.0219
매운맛,2017-05-25,8.1667
